,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,37.0,3545.0,3751409.3700306164,49.0,3738.0,4994947.427948623,36.0,1498.0,4974732.751726266,89.0,72.0,7586.0,4993507.157864335,34.0,2653.0,5500525.270679481
1,36.0,912.0,4993161.42684793,36.0,912.0,4993161.42684793,33.0,931.0,4904338.0436718,56.0,44.0,3124.0,4611281.496908646,34.0,1853.0,4428667.860865767
2,38.0,1781.0,4938052.58607242,35.0,2394.0,4738687.487126905,38.0,1855.0,4886307.434541386,63.0,36.0,3421.0,4409476.143988664,27.0,2403.0,3976810.737474501
3,63.0,3679.0,4859251.807492642,26.0,2626.0,4720614.311320492,44.0,2090.0,4849866.541637064,75.0,68.0,5306.0,4894941.016135385,34.0,2962.0,4636749.008314198
4,54.0,3473.0,4921855.804889616,40.0,2058.0,4924792.968698036,36.0,1302.0,4982800.740592285,79.0,42.0,4264.0,3584757.5063642827,29.0,1909.0,4218656.7958011115
5,30.0,1890.0,2870274.818377247,41.0,2702.0,4853992.875470045,52.0,2251.0,4661531.869837554,88.0,62.0,4520.0,4651140.602460634,39.0,3241.0,4135355.45929607
6,57.0,3508.0,4718246.703064024,56.0,3833.0,4738675.1882817475,35.0,1017.0,4429795.7203812795,75.0,54.0,5134.0,4635571.959641422,31.0,2330.0,4237069.171555452
7,46.0,2514.0,4351821.265107251,49.0,3928.0,4957079.768817248,35.0,1778.0,4913413.877462563,75.0,44.0,5321.0,4761537.439565374,31.0,3000.0,3887648.165143535
8,56.0,3046.0,4516870.815570158,45.0,2975.0,4972575.579225116,54.0,2689.0,4506606.755781125,77.0,53.0,4865.0,3838329.001874015,38.0,2620.0,4122998.4383545653
9,40.0,2031.0,4843409.650304065,64.0,4550.0,4868296.489780728,39.0,1857.0,4976969.36832451,83.0,52.0,3992.0,4420926.341741442,31.0,2531.0,4609708.906619617
10,42.0,3257.0,4705778.33601886,44.0,4088.0,4915208.908277554,27.0,2086.0,4992008.235361833,58.0,53.0,7686.0,4909786.121656846,29.0,2939.0,4962498.013432438
11,34.0,2587.0,4332109.715318448,26.0,2325.0,4966515.7783755325,30.0,1468.0,4851898.719107842,62.0,59.0,5089.0,7313354.598708362,42.0,3483.0,5162196.9232695
12,29.0,1852.0,3635518.6410484305,31.0,2281.0,4471445.065221136,35.0,1513.0,4946464.3657055665,70.0,51.0,3528.0,3555022.510351103,34.0,2712.0,4472023.687381192
