,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
1,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
2,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
3,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
4,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
5,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
6,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
7,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
8,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
9,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
10,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
11,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
12,43.0,1849.0,4261892.387550879,35.0,1974.0,6401506.965460145,43.0,1849.0,5961999.897779547,43.0,32.0,1894.0,2081234.113504795,40.0,1802.0,5205075.477178202
