,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
1,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
2,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
3,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
4,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
5,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
6,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
7,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
8,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
9,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
10,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
11,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
12,78.0,8134.0,8589188.120949011,64.0,5164.0,9667572.746603703,67.0,5414.0,9848398.81836321,78.0,71.0,7497.0,8057964.520807695,64.0,6539.0,9309272.023937866
