,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy,rseo_clust_profit,rseo_clust_storage,rseo_clust_energy
0,77.0,3361.0,7945781.041744856,132.0,9361.0,9808525.393882152,121.0,3638.0,9846405.675870739,0.0,172.0,14329.0,7441120.102053227,128.0,11287.0,7554910.8695068555,55.0,6509079.900032253,2583.0
1,69.0,3467.0,8399637.858904427,168.0,11673.0,9849716.481958546,80.0,2361.0,9595631.838431522,0.0,169.0,14456.0,8266531.2585349735,98.0,8256.0,8693410.102224631,111.0,9322790.109417042,6221.0
2,50.0,3122.0,8846240.464779433,144.0,10599.0,9800024.45695613,98.0,3013.0,9829748.367190551,0.0,178.0,14003.0,9248553.120333537,89.0,6582.0,9180637.068986682,98.0,8950519.617158346,3481.0
3,40.0,1413.0,7248793.352212183,121.0,8796.0,9860118.567851493,114.0,4090.0,9500804.338449683,0.0,148.0,13372.0,9323184.0864986,112.0,11059.0,9450196.524080556,77.0,9115195.0254219,3506.0
4,60.0,3144.0,7171357.461635567,167.0,11628.0,9315840.137401812,117.0,3671.0,9535171.746740174,0.0,158.0,14079.0,9667812.822206609,112.0,10911.0,9097044.55978961,79.0,8410846.44961695,3966.0
5,39.0,1894.0,5910055.783363928,180.0,12336.0,9730825.259464778,105.0,3771.0,9713035.691114876,0.0,144.0,11703.0,8990286.390168015,101.0,9288.0,8955732.342853213,117.0,7860007.201114545,6740.0
6,60.0,2401.0,7999932.148361655,154.0,11214.0,9924869.07571084,111.0,4209.0,9839849.550121069,0.0,147.0,14738.0,8545332.960431645,101.0,9717.0,9511871.622556008,101.0,8245490.976454795,5022.0
7,114.0,4804.0,9387040.825495258,130.0,6741.0,9712445.35107526,123.0,4080.0,9832987.713904161,0.0,153.0,12814.0,8534634.255798722,95.0,9289.0,8597963.155804753,133.0,9148681.878316956,5594.0
8,98.0,4694.0,8801342.888173196,154.0,9364.0,9847558.77828481,117.0,3582.0,9801374.4974473,0.0,198.0,14973.0,8308213.259076086,121.0,10944.0,8972196.365420973,135.0,8382546.597543864,6540.0
9,50.0,1659.0,8261235.740655433,172.0,12840.0,9831149.19064214,118.0,3904.0,9839491.423207901,0.0,156.0,13824.0,8661612.864017386,105.0,9924.0,9292814.001903273,74.0,8003148.721791409,3269.0
10,50.0,2633.0,7055256.781517819,142.0,11115.0,9786075.16319926,111.0,5098.0,9685930.61671555,0.0,151.0,13444.0,9596039.1531462,133.0,13640.0,9329805.182976674,98.0,8880324.889056757,5474.0
11,69.0,3518.0,8257563.405685758,198.0,11245.0,9857581.877977207,148.0,6088.0,9776082.749119619,0.0,181.0,12950.0,8475568.207738848,130.0,9265.0,8906338.136035644,151.0,9306793.946741745,6333.0
12,67.0,3057.0,7724554.076156253,155.0,12259.0,9650825.498413801,114.0,4163.0,9782545.984238358,0.0,186.0,12070.0,8406054.636926893,124.0,7389.0,8540104.330935664,131.0,9196794.932955759,6106.0
