,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,30.0,1017.0,2232110.795050247,54.0,2592.0,2482385.06107796,24.0,646.0,2431837.132373327,0.0
1,11.0,1097.0,1961453.9340290416,41.0,2479.0,2497024.1973558823,19.0,311.0,2479944.7480499665,0.0
2,30.0,876.0,1684329.1704437302,48.0,1683.0,2453767.8992335615,18.0,225.0,2492980.7648788253,0.0
3,34.0,1622.0,2141571.729151225,37.0,1517.0,2486602.0628909976,33.0,494.0,2496072.051888132,0.0
4,15.0,520.0,321943.66841269494,55.0,1939.0,2316812.044880463,42.0,715.0,2474165.5774213946,0.0
5,42.0,1828.0,2495376.269697104,52.0,1891.0,2446123.815772803,44.0,1053.0,2463008.9500255487,0.0
6,15.0,573.0,1734907.4407087024,45.0,1854.0,2465622.690813616,28.0,391.0,2360589.543366829,0.0
7,20.0,1162.0,2171651.952821331,28.0,785.0,2408907.596954467,50.0,1909.0,2430924.2897845693,0.0
8,30.0,1500.0,2130826.3149599666,22.0,1176.0,2440241.540525202,17.0,321.0,2473106.0669395966,0.0
9,20.0,898.0,2090440.159504479,43.0,2710.0,2484359.729484305,49.0,1532.0,2440752.5081214025,0.0
10,20.0,855.0,1508238.0782336686,46.0,1989.0,2497603.7316781054,18.0,239.0,2448125.7549910406,0.0
11,20.0,1183.0,2336963.466589662,46.0,843.0,2398720.1054964913,37.0,586.0,2494490.4219026635,0.0
12,20.0,1063.0,2021064.865590819,39.0,1940.0,2490615.49120714,26.0,480.0,2432128.7249710173,0.0
