,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,70.0,4225.0,4900265.629914685,48.0,4379.0,4943898.240547122,33.0,1461.0,4808097.339598085,0.0
1,100.0,6012.0,4271186.970660679,64.0,4640.0,4985868.886019499,56.0,1753.0,4902132.543997592,0.0
2,80.0,5126.0,4691030.771728688,99.0,4138.0,4941958.625996198,53.0,558.0,4951157.172011426,0.0
3,110.0,6420.0,4494754.798857741,81.0,5125.0,4940492.724741863,59.0,768.0,4946783.773063015,0.0
4,80.0,5361.0,4561484.2504371805,88.0,7883.0,4958410.240568025,36.0,1592.0,4979936.551312372,0.0
5,80.0,4220.0,4572907.0319641065,46.0,2092.0,4986905.0978274625,83.0,2580.0,4932921.421695601,0.0
6,37.0,3025.0,4614562.197161764,58.0,4230.0,4992597.8537478,46.0,1692.0,4981104.979533321,0.0
7,70.0,5179.0,4737017.461098576,60.0,4386.0,4815955.994086099,47.0,1072.0,4885542.482340153,0.0
8,80.0,4427.0,4619304.871887183,72.0,3571.0,4978370.259367176,27.0,220.0,4930246.244947238,0.0
9,85.0,5619.0,4585376.841068679,61.0,2771.0,4943193.913904708,57.0,368.0,4974615.224422358,0.0
10,60.0,4068.0,4549972.100065502,63.0,4861.0,4989343.320646527,47.0,864.0,4954021.2698361995,0.0
11,50.0,3756.0,3764053.82587949,66.0,5473.0,4983454.794895048,47.0,1906.0,4977524.920529143,0.0
12,100.0,5601.0,4172390.659769764,68.0,4485.0,4831230.364117748,53.0,979.0,4999757.1073178295,0.0
