,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,179.0,9457.0,9754930.956653396,109.0,6979.0,9997189.59842707,115.0,3054.0,9980000.477904519,0.0
1,152.0,7906.0,9891503.658418,116.0,6287.0,9988587.038133947,84.0,2111.0,9902212.708637005,0.0
2,118.0,6234.0,9184802.061263157,126.0,8657.0,9964135.667381883,73.0,1439.0,9994218.273713112,0.0
3,245.0,12135.0,9949752.248199293,128.0,8873.0,9989521.96227706,107.0,2512.0,9941175.198663877,0.0
4,181.0,10634.0,9764341.894015865,150.0,11873.0,9968154.233693356,87.0,2095.0,9995130.218128234,0.0
5,192.0,8241.0,9905055.340433957,136.0,7945.0,9996862.589330563,103.0,2496.0,9915303.337885983,0.0
6,228.0,9861.0,9896672.11121004,122.0,4845.0,9994861.478231383,108.0,2194.0,9964743.13640829,0.0
7,140.0,6992.0,9592483.868093925,118.0,7606.0,9965048.82712878,71.0,1968.0,9894332.448668415,0.0
8,250.0,11196.0,9996833.16077292,133.0,7437.0,9897894.260893619,88.0,1799.0,9972735.438868865,0.0
9,180.0,7344.0,9980475.03669929,116.0,7055.0,9997100.888838738,99.0,2186.0,9943052.691497065,0.0
10,231.0,9862.0,9432299.827921223,116.0,5826.0,9900679.082231082,102.0,2039.0,9970840.696150333,0.0
11,156.0,8061.0,9812984.088127956,118.0,7578.0,9958649.694098508,113.0,2440.0,9971071.112046814,0.0
12,177.0,7871.0,9892022.09256772,110.0,7753.0,9976550.047752757,81.0,1274.0,9982357.241847044,0.0
