,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,27.0,934.0,2040414.6190938994,49.0,2413.0,2266977.315425838,57.0,2376.0,2433746.316917722,0.0
1,20.0,943.0,2224482.2712116796,32.0,1820.0,2461533.961407788,20.0,187.0,2491650.8003758388,0.0
2,20.0,738.0,2497277.852213231,51.0,2686.0,2327637.3143348047,36.0,1062.0,2492293.6383294594,0.0
3,40.0,1471.0,2469655.678783827,33.0,2203.0,2440331.3382096854,41.0,441.0,2490417.538810439,0.0
4,10.0,386.0,985418.5849115166,58.0,4374.0,2417443.9624869386,32.0,1030.0,2464923.7403672026,0.0
5,19.0,1143.0,1966211.9916240075,52.0,2822.0,2491717.344120732,21.0,510.0,2486070.9669302898,0.0
6,10.0,648.0,1860372.208577857,26.0,1798.0,2484387.3563464675,29.0,233.0,2461136.9166787285,0.0
7,30.0,1092.0,1317685.315919714,53.0,3197.0,2483048.354711286,12.0,81.0,2403921.7276210333,0.0
8,40.0,1902.0,2450777.308924159,43.0,3098.0,2477611.5699610617,34.0,920.0,2464810.685430766,0.0
9,40.0,917.0,2420245.6926470366,70.0,5231.0,2419164.5566027807,21.0,40.0,2497764.4743718295,0.0
10,20.0,235.0,1912023.2356665304,48.0,3373.0,2463351.246825944,29.0,475.0,2491029.7311718827,0.0
11,50.0,1666.0,2437265.5198854967,41.0,2713.0,2458266.2597136507,26.0,120.0,2484156.756792776,0.0
12,50.0,2393.0,2497454.874060724,36.0,3317.0,2417720.269533784,28.0,441.0,2496365.591093947,0.0
