,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,60.0,2191.0,4651307.79370752,83.0,3986.0,4989615.86747845,48.0,988.0,4978363.693931325,0.0
1,40.0,1084.0,4198229.993993929,78.0,4417.0,4999100.738849901,62.0,1204.0,4943180.395513968,0.0
2,100.0,4091.0,4713111.190172428,75.0,4253.0,4998953.310331908,43.0,651.0,4982065.391499297,0.0
3,45.0,1955.0,4350303.41714749,101.0,6617.0,4964592.270460348,41.0,881.0,4987912.565639353,0.0
4,70.0,2522.0,4944236.392859447,53.0,3935.0,4965252.623935599,52.0,1218.0,4963999.202720513,0.0
5,90.0,3111.0,4398381.666415858,67.0,4521.0,4940151.463004954,36.0,754.0,4955079.741214896,0.0
6,60.0,2127.0,4049774.265049502,87.0,5483.0,4971760.67018719,77.0,2010.0,4996872.290185472,0.0
7,70.0,1124.0,4264004.277145853,74.0,4132.0,4940923.45729981,74.0,1815.0,4971480.609235404,0.0
8,60.0,2673.0,4918357.039813822,67.0,4073.0,4961227.83489941,56.0,1866.0,4940149.333929228,0.0
9,50.0,1846.0,4939982.09705625,67.0,3413.0,4983556.678845406,60.0,1089.0,4978474.86490308,0.0
10,76.0,2894.0,4755505.396627033,69.0,4192.0,4904080.05491548,57.0,1655.0,4974744.180735435,0.0
11,90.0,3098.0,4653727.4805882145,101.0,5206.0,4958182.165601297,68.0,1522.0,4974400.950366272,0.0
12,70.0,2621.0,4968696.60989345,75.0,3711.0,4999715.4851187905,32.0,1015.0,4992894.134328227,0.0
