,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,62.0,2950.0,4961147.510246221,66.0,3428.0,4916984.69752568,62.0,1895.0,4999640.159920918,0.0
1,39.0,2535.0,4667609.369490133,65.0,3399.0,4990042.052052553,38.0,879.0,4909049.327571883,0.0
2,30.0,707.0,3163113.3407983882,65.0,2439.0,4923436.83039434,53.0,1031.0,4728087.689859287,0.0
3,60.0,2365.0,4907212.492794048,72.0,3418.0,4699560.945892808,58.0,1342.0,4980996.440655327,0.0
4,40.0,784.0,4348867.167285357,59.0,2002.0,4984529.506665691,57.0,1006.0,4900482.204624934,0.0
5,40.0,1235.0,3972498.7982282243,34.0,1915.0,4994255.239681304,50.0,922.0,4967222.7094751,0.0
6,40.0,910.0,4846268.2498137215,43.0,1871.0,4913623.206568879,31.0,531.0,4788327.390121229,0.0
7,40.0,2222.0,3032698.5264173374,47.0,2872.0,4705182.5793878855,40.0,910.0,4934636.008018382,0.0
8,54.0,2550.0,3237347.6025565234,46.0,2559.0,4982984.593190645,57.0,1516.0,4943436.210013191,0.0
9,50.0,1497.0,4474304.213040396,69.0,3970.0,4929725.431723302,56.0,1022.0,4992334.811981439,0.0
10,33.0,1422.0,4494360.34536565,63.0,3156.0,4961425.89796021,55.0,1094.0,4737161.007513409,0.0
11,47.0,2060.0,3878844.8214941463,65.0,3369.0,4977966.877322305,31.0,1610.0,4994068.5867793355,0.0
12,40.0,1490.0,4008196.5413787887,51.0,4157.0,4993280.080583768,46.0,1460.0,4842274.940804035,0.0
